CSA2010,eattend15,mattend15,hsattend15,aastud15,wstud15,hstud15,abse15,absmd15,abshs15,drop15,compl15,sclsw15,sclemp15,eenrol15,menrol15,hsenrol15,pmath315,pread315,pmath515,pread515,pmath815,pread815
Community Statistical Areas (CSAs),Number of Students Ever Attended 1st - 5th Grade,Number of Students Ever Attended 6th - 8th Grade,Number of Students Ever Attended 9th - 12th Grade,Percent of Students that are African American,Percent of Students that are White (non-Hispanic),Percent of Students that are Hispanic,Percent of 1st-5th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 6th-8th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),High School Dropout/Withdrawal Rate,High School Completion Rate,Percent of Students Switching Schools within School Year,Percentage of Population aged 16-19 in School and/or Employed,Number of Students Officially Enrolled in 1st - 5th Grade,Number of Students Officially Enrolled in 6th - 8th Grade,Number of Students Officially Enrolled in 9th - 12th Grade,Percentage of 3rd Grade Students who met or exceeded PARCC Math,Percentage of 3rd Grade Students who met or exceeded PARCC Reading,Percentage of 5th Grade Students who met or exceeded PARCC Math,Percentage of 5th Grade Students who met or exceeded PARCC Reading,Percentage of 8th Grade Students who met or exceeded PARCC Math,Percentage of 8th Grade Students who met or exceeded PARCC Reading
Allendale/Irvington/S. Hilton,940,554,735,93.2705248990578,3.72364288918797,1.88425302826379,21.3829787234042,17.6895306859205,40.1360544217687,3.53741496598639,77.6470588235294,7.63594292325491,96.1155378486056,909,540,734,10.3658536585366,12.8048780487805,4.8780487804878,6.70731707317073,4.96894409937888,6.3953488372093
Beechfield/Ten Hills/West Hills,634,331,442,93.6034115138592,2.84292821606254,2.41648898365316,11.0410094637223,15.7099697885196,33.4841628959276,2.03619909502262,86.7924528301886,5.64320388349514,66.5441176470588,608,324,437,15.3846153846154,27.3504273504274,9.25925925925926,15.7407407407407,3.33333333333333,20.7207207207207
Belair-Edison,1148,665,935,96.2882096069868,1.38282387190684,1.63755458515283,19.9477351916376,14.8872180451127,39.8930481283422,3.31550802139037,80,8.44712607176881,87.168610816543,1125,649,962,16.0194174757282,16.4251207729469,5.60747663551402,7.981220657277,6.13207547169811,8.96860986547085
Brooklyn/Curtis Bay/Hawkins Point,1122,498,547,54.5916012921089,27.5496077526534,15.6898938624826,23.0837789661319,25.9036144578313,43.144424131627,8.22669104204753,69.4117647058823,7.63329497506712,74.2610837438424,1059,470,539,11.2676056338028,7.58293838862559,9.67741935483871,11.6129032258065,5.3030303030303,8.69565217391304
Canton,107,33,29,18.9349112426035,51.4792899408284,25.4437869822485,3.73831775700934,0,31.0344827586206,10.3448275862068,75,3.82775119617224,100,104,32,29,56.25,56.25,28.5714285714286,14.2857142857143,77.7777777777778,66.6666666666667
Cedonia/Frankford,1339,744,1075,89.5503483217226,3.35655478150728,2.02659911336288,13.0694548170276,10.0806451612903,34.5116279069767,2.04651162790697,85.7707509881422,5.68643379366368,76.5263157894737,1280,727,1069,15.1394422310757,16.2698412698413,12.5541125541126,11.6883116883117,2.55102040816327,10.6976744186047
Cherry Hill,856,394,462,95.7943925233644,1.16822429906542,2.51168224299065,26.9859813084112,21.3197969543147,48.9177489177489,5.41125541125541,66.9902912621359,12.2133599202392,70.8074534161491,828,379,459,10.6918238993711,13.2075471698113,0.617283950617284,0.617283950617284,2.45901639344262,7.03125
Chinquapin Park/Belvedere,417,213,260,87.5280898876404,6.17977528089887,4.8314606741573,13.9088729016786,15.9624413145539,30.7692307692307,1.92307692307692,87.037037037037,4.3103448275862,76.1273209549072,408,206,256,16.1764705882353,26.4705882352941,11.4285714285714,18.5714285714286,1.96078431372549,20
Claremont/Armistead,740,361,394,56.1204013377926,16.1872909698996,25.5518394648829,12.9729729729729,14.9584487534626,38.8324873096446,2.79187817258883,77.5280898876404,4.2612064194798,59.9562363238512,702,338,392,18.8679245283019,19.4968553459119,9.83606557377049,11.4754098360656,4.76190476190476,14.6788990825688
Clifton-Berea,748,379,496,97.4121996303142,1.17067159581022,1.23228589032655,17.6470588235294,24.5382585751978,46.9758064516129,4.83870967741935,63.8095238095238,10.5907397551889,75.3623188405797,731,374,522,6.41025641025641,10.3225806451613,0.735294117647059,4.41176470588235,0,3.125
Cross-Country/Cheswolde,214,133,139,79.2181069958847,10.0823045267489,6.79012345679012,6.54205607476635,17.2932330827067,22.3021582733812,2.15827338129496,95,2.82685512367491,95.7276368491322,200,128,129,36.3636363636364,41.1764705882353,15.3846153846154,25.6410256410256,8,31.25
Dickeyville/Franklintown,229,87,130,97.7578475336322,1.12107623318385,0.672645739910313,17.0305676855895,9.19540229885057,36.1538461538461,3.07692307692307,78.9473684210526,5.3030303030303,88.5496183206107,213,81,127,26.8292682926829,31.7073170731707,8.88888888888889,6.66666666666667,0,13.6363636363636
Dorchester/Ashburton,656,344,478,97.2954699121027,0.676132521974306,1.5551048005409,19.0548780487804,20.8695652173913,35.3556485355648,2.30125523012552,79.6875,7.31850117096018,95.1030927835051,628,333,470,15.1785714285714,29.4642857142857,9.43396226415094,12.2641509433962,4.12371134020619,7.84313725490196
Downtown/Seton Hill,120,68,62,77.2,12.8,4.4,21.6666666666666,17.6470588235294,45.1612903225806,6.4516129032258,90,7.53424657534246,91.2621359223301,113,63,66,15,10.5263157894737,0,5.55555555555556,9.09090909090909,23.0769230769231
Edmondson Village,471,269,425,98.2832618025751,0.600858369098712,1.03004291845493,14.0127388535031,15.2416356877323,40.4705882352941,4,78.0701754385964,7.75988286969253,82.3255813953488,465,261,415,12.8712871287129,19,10.3896103896104,7.79220779220779,5.40540540540541,9.87654320987654
Fells Point,224,67,96,22.7390180878552,27.906976744186,46.5116279069767,7.58928571428571,16.4179104477611,44.7916666666666,5.20833333333333,72.7272727272727,2.40174672489082,71.6981132075472,210,63,94,14.8936170212766,27.6595744680851,13.953488372093,25.5813953488372,33.3333333333333,23.8095238095238
Forest Park/Walbrook,623,325,455,97.2915181753385,0.855310049893086,1.63934426229508,12.199036918138,16,37.8021978021978,1.75824175824175,75.2808988764044,7.49690210656753,86.1333333333333,596,312,450,15.625,24.21875,14.8936170212766,8.51063829787234,5.31914893617021,8.65384615384615
Glen-Fallstaff,648,395,462,80.5980066445182,4.85049833887043,13.0232558139534,13.5802469135802,18.4810126582278,32.2510822510822,0.865800865800865,82.0754716981132,5.92592592592592,85.679012345679,624,382,445,21.6417910447761,23.8805970149254,11.4942528735632,16.0919540229885,4.42477876106195,17.5572519083969
Greater Charles Village/Barclay,390,186,231,82.5278810408921,8.17843866171003,5.70012391573729,12.8205128205128,15.5913978494623,39.8268398268398,2.16450216450216,83.3333333333333,7.51269035532994,97.5261655566128,379,183,240,21.4285714285714,22.8571428571429,16.3934426229508,13.1147540983607,5.66037735849057,17.4603174603175
Greater Govans,699,389,512,96.3125,2.0625,0.9375,13.4477825464949,12.0822622107969,39.6484375,2.734375,81.6513761467889,7.29166666666666,68.5758513931889,690,384,511,14.4827586206897,18.6206896551724,5.64516129032258,12.0967741935484,3.96039603960396,8.33333333333333
Greater Mondawmin,610,273,445,98.117469879518,0.903614457831325,0.677710843373493,16.3934426229508,16.4835164835164,37.752808988764,2.24719101123595,75,6.55948553054662,69.7976878612717,592,263,434,17.9487179487179,24.7863247863248,11.9266055045872,8.25688073394496,4.34782608695652,3.8961038961039
Greater Roland Park/Poplar Hill,249,98,89,21.788990825688,62.3853211009174,3.21100917431192,2.81124497991967,2.04081632653061,5.61797752808988,0,92.8571428571428,0.592885375494071,100,239,96,88,81.25,85.4166666666667,61.5384615384615,67.3076923076923,0,68.9655172413793
Greater Rosemont,1453,719,1046,98.0118049083566,0.590245417831624,1.11835973904939,16.5863730213351,15.4166666666666,45.2198852772466,4.11089866156787,71.2264150943396,9.75224037954665,69.5344129554656,1399,707,1053,10.8614232209738,12.4528301886792,5.77617328519856,6.85920577617329,4.52488687782805,7.32758620689655
Greenmount East,644,300,427,97.5929978118161,0.510576221735959,1.45878920495988,22.6708074534161,24.3333333333333,50.351288056206,7.02576112412177,77.2727272727272,9.00791235544735,67.3780487804878,624,295,446,11.6666666666667,14.2857142857143,2.97029702970297,7.92079207920792,3.52941176470588,4.49438202247191
Hamilton,645,384,491,86.0526315789473,10.328947368421,1.9078947368421,12.0930232558139,11.71875,27.9022403258655,1.83299389002036,79.7979797979797,5.63139931740614,97.979797979798,622,374,484,16.6666666666667,24.1666666666667,8.14814814814815,13.3333333333333,4.34782608695652,21.4814814814815
Harbor East/Little Italy,415,184,213,88.5467980295566,2.0935960591133,8.62068965517241,15.9036144578313,15.7608695652173,44.6009389671361,3.28638497652582,54.5454545454545,7.57097791798107,77.0897832817337,405,177,215,13.1868131868132,16.4835164835165,7.54716981132075,7.54716981132075,3.57142857142857,7.27272727272727
Harford/Echodale,769,448,545,84.7900113507377,9.93189557321225,4.48354143019296,11.1833550065019,14.0625,26.2385321100917,2.01834862385321,82.9059829059829,5.2683407188577,90.2985074626866,742,429,536,30.8270676691729,30.0751879699248,16.5289256198347,15,4.03225806451613,23.1788079470199
Highlandtown,357,143,158,16.1094224924012,18.693009118541,62.4620060790273,12.6050420168067,16.7832167832167,39.2405063291139,1.89873417721518,78.2608695652173,2.8894472361809,52.5547445255474,339,138,156,15.1515151515152,16.6666666666667,10.9375,17.1875,25,25
Howard Park/West Arlington,532,235,368,96.7400881057268,0.616740088105726,1.85022026431718,14.6616541353383,15.7446808510638,31.25,3.53260869565217,75.8620689655172,7.9048349961627,86.2790697674419,495,226,356,15.2941176470588,15.2941176470588,8.65384615384615,14.4230769230769,1.66666666666667,14.7058823529412
Inner Harbor/Federal Hill,229,89,86,47.029702970297,42.8217821782178,3.96039603960396,13.9737991266375,11.2359550561797,43.0232558139534,9.30232558139534,62.5,3.57142857142857,94.6745562130178,221,89,87,50,47.8260869565217,32.1428571428571,28.5714285714286,8.69565217391304,38.7096774193548
Lauraville,584,336,458,85.7039187227866,10.8127721335268,2.39477503628447,16.4383561643835,12.2023809523809,27.5109170305676,3.49344978165938,84.5454545454545,5.15075376884422,89.3569844789357,562,328,463,21.2121212121212,27.2727272727273,17.3076923076923,18.2692307692308,2.4390243902439,19.1919191919192
Loch Raven,931,507,611,96.9253294289897,0.536847242557345,2.04978038067349,15.1450053705692,10.0591715976331,27.9869067103109,1.80032733224222,85.1351351351351,5.31082750102923,87.5305623471883,915,495,605,19.2708333333333,27.6041666666667,14.1242937853107,18.6440677966102,1.68067226890756,11.1111111111111
Madison/East End,697,352,478,91.3555992141453,1.50622134905042,6.22134905042567,19.5121951219512,20.4545454545454,52.7196652719665,4.60251046025104,82.6530612244897,9.07572383073496,73.5973597359736,688,342,492,8,11.2,5.26315789473684,7.5187969924812,0.952380952380952,6.42201834862385
Medfield/Hampden/Woodberry/Remington,490,245,281,24.3110236220472,58.6614173228346,6.69291338582677,14.6938775510204,21.6326530612244,27.0462633451957,4.62633451957295,92.4528301886792,3.16558441558441,72.9458917835671,475,241,286,43.1578947368421,35.7894736842105,16.8539325842697,23.5955056179775,12.6984126984127,28.75
Midtown,186,108,116,70.7317073170731,16.8292682926829,7.3170731707317,16.6666666666666,20.3703703703703,34.4827586206896,0.862068965517241,74.074074074074,5.91836734693877,97.2148541114058,176,104,113,19.3548387096774,36.6666666666667,22.2222222222222,25.9259259259259,19.047619047619,32.258064516129
Midway/Coldstream,746,378,526,98,0.424242424242424,1.15151515151515,19.9731903485254,24.074074074074,44.296577946768,3.42205323193916,83.0357142857142,8.67768595041322,64.6271510516252,719,369,526,16.260162601626,15.4471544715447,11.0294117647059,12.5,4.13223140495868,5.6
Morrell Park/Violetville,459,256,219,31.1563169164882,55.3533190578158,6.74518201284796,22.0043572984749,27.734375,36.986301369863,4.5662100456621,79.5918367346938,4.88029465930018,61.3861386138614,442,241,219,24.4186046511628,22.093023255814,4.93827160493827,8.64197530864197,10.1449275362319,12.8571428571429
Mount Washington/Coldspring,212,86,80,48.4126984126984,39.1534391534391,3.17460317460317,4.24528301886792,10.4651162790697,10,0,91.3043478260869,1.6627078384798,80.7339449541284,207,86,78,70.7317073170732,77.5,54.7619047619048,64.2857142857143,0,42.8571428571429
North Baltimore/Guilford/Homeland,291,132,141,32.8014184397163,55.8510638297872,3.36879432624113,6.87285223367697,8.33333333333333,16.3120567375886,1.41843971631205,85.7142857142857,1.5625,100,285,127,138,72.2222222222222,77.7777777777778,42.8571428571429,52.0833333333333,23.8095238095238,50
Northwood,700,346,517,96.4171465131158,1.53550863723608,1.59948816378758,13,14.7398843930635,33.2688588007736,3.09477756286266,81.25,5.05555555555555,94.934547524189,688,339,518,27.2058823529412,25.9259259259259,23.8095238095238,19.8412698412698,4.71698113207547,15.8333333333333
Oldtown/Middle East,817,355,446,95.859085290482,0.494437577255871,3.02843016069221,20.0734394124847,16.6197183098591,48.4304932735426,5.15695067264573,70.3703703703703,6.83987274655355,62.7067669172932,802,350,455,9.8159509202454,9.20245398773006,3.36134453781513,5.88235294117647,0.925925925925926,5.5045871559633
Orangeville/East Highlandtown,773,354,386,18.9028420356906,16.4573694646397,61.7977528089887,7.89133247089262,13.5593220338983,43.0051813471502,4.4041450777202,76.8115942028985,3.59869138495092,76.4492753623188,749,345,387,15.028901734104,15.028901734104,15.5172413793103,13.9130434782609,11.5384615384615,23.1481481481481
Patterson Park North & East,987,485,532,57.3353293413173,6.38722554890219,34.2814371257485,12.7659574468085,17.7319587628865,46.2406015037593,3.38345864661654,77.3584905660377,6.2263357172907,69.7231833910035,949,481,545,12.1052631578947,14.7368421052632,13.4969325153374,14.1104294478528,15.9090909090909,14.4827586206897
Penn North/Reservoir Hill,598,300,411,97.0206264323911,1.22230710466004,1.06951871657754,20.2341137123745,16.3333333333333,44.7688564476885,4.8661800486618,72.6315789473684,9.23877683799609,80.6709265175719,583,291,414,23.5849056603774,20.7547169811321,4.85436893203883,6.79611650485437,4.90196078431373,8.18181818181818
Pimlico/Arlington/Hilltop,733,446,551,97.1098265895953,1.15606936416184,1.15606936416184,14.7339699863574,20.4035874439461,45.0090744101633,3.26678765880217,76.7441860465116,8.1725888324873,63.3802816901408,716,427,556,13.8461538461538,17.0542635658915,2.11267605633803,7.04225352112676,2.32558139534884,5.83941605839416
Poppleton/The Terraces/Hollins Market,400,187,242,96.2605548854041,1.93003618817852,1.56815440289505,25,24.5989304812834,48.7603305785123,4.13223140495867,77.0491803278688,10.8471074380165,67.1140939597315,392,183,246,1.33333333333333,1.33333333333333,10.1694915254237,5.08474576271187,1.58730158730159,6.15384615384615
Sandtown-Winchester/Harlem Park,1115,559,713,97.8634268956849,0.502723083368244,1.34059488898198,18.2062780269058,16.4579606440071,48.1065918653576,5.75035063113604,75.177304964539,10.0071225071225,81.9742489270386,1104,552,716,14.9532710280374,12.6168224299065,5.64102564102564,7.6530612244898,3.24675324675325,6.66666666666667
South Baltimore,165,53,48,7.14285714285714,87.96992481203,1.50375939849624,7.27272727272727,16.9811320754716,31.25,6.25,76.9230769230769,0.284900284900284,98.4848484848485,159,52,45,52.7777777777778,44.4444444444444,25.9259259259259,40.7407407407407,28.5714285714286,43.75
Southeastern,469,219,210,47.3273942093541,15.478841870824,34.8552338530066,7.03624733475479,10.5022831050228,37.1428571428571,3.8095238095238,82.8571428571428,8.07799442896935,86.9822485207101,451,203,213,21.1111111111111,17.9775280898876,9.09090909090909,7.57575757575758,4.54545454545455,10.4477611940298
Southern Park Heights,918,443,589,96.7179487179487,0.769230769230769,2,24.9455337690631,23.4762979683972,45.3310696095076,2.37691001697792,81.0344827586206,9.11481156879929,55.7971014492754,899,430,590,7.36196319018405,11.0429447852761,2.68456375838926,8.7248322147651,3.87596899224806,4.54545454545455
Southwest Baltimore,1405,682,831,84.0986977381768,9.52707333790267,4.83207676490747,21.1387900355871,21.2609970674486,47.653429602888,6.61853188929001,66.8639053254437,9.92212287280069,75.0297265160523,1355,664,836,14.828897338403,14.4486692015209,6.78733031674208,9.04977375565611,3.41463414634146,7.47663551401869
The Waverlies,536,271,310,92.1217547000895,3.04386750223813,3.49149507609668,15.6716417910447,15.4981549815498,37.7419354838709,3.87096774193548,81.0126582278481,6.13967766692248,64.2276422764228,523,268,315,9.78260869565217,14.1304347826087,7.07070707070707,9.09090909090909,5.79710144927536,8.23529411764706
Upton/Druid Heights,892,401,550,97.7211068909386,0.54259359739555,1.30222463374932,24.5515695067264,27.1820448877805,46.3636363636363,3.81818181818181,81.9819819819819,8.55813953488372,73.8304093567251,863,399,560,6.66666666666667,11.3333333333333,2.5,5,1,1.9047619047619
Washington Village/Pigtown,330,153,201,78.0701754385964,16.0818713450292,2.48538011695906,19.090909090909,24.1830065359477,41.2935323383084,6.46766169154228,81.3953488372093,9.04704463208685,72.6086956521739,316,152,205,13.3333333333333,15,4.76190476190476,4.76190476190476,4.65116279069767,10.8695652173913
Westport/Mount Winans/Lakeland,706,360,368,69.3165969316596,6.90376569037656,23.0822873082287,14.0226628895184,22.5,36.9565217391304,5.97826086956521,69.8412698412698,8.49790544584081,100,678,349,352,15.5038759689922,19.3798449612403,8.40336134453782,9.2436974789916,2.97029702970297,4.80769230769231
Baltimore City,34340,17304,22015,83.1102362204724,7.97040456149877,7.28074938908498,16.5666860803727,17.4284888760473,39.6138996138996,3.69747899159663,78.2968783181142,7.22849736135543,81.0080581450466,33217,16822,22043,17.2981366459627,19.6578538102644,10.0256191289496,12.1496924128503,5.03327787021631,12.2750520931995